Replies_subject,relation,Replies_object
answer180,can get,department head
user181,will see,~ 8 pin connector
cold pulls,do with,gears of dual v3 extruder body
cold pulls,are,really hard
min-temp,would depend on,filament type
filament,should,should semi-solid in nozzle
successful cold pull,would create,cone shaped filament end
answer183,find,answer for
answer183,did,quick test with print
answer183,'m just stabbing at,button on stopwatch app
answer183,dial back,speed
user184,can cut out,space for control box
user185,can clarify for,those of you
answer185,upgraded to,v2 single extruder
answer185,was inside,control box
spare terminal posts,is in,xz connector
answer185,tied into,main power supply input terminals
answer185,chose,tie
my z-axis,go,crazy
my z-axis,is in,particular
20 mm calibration cubes,were coming out,around 15.5 mm tall
x/y dimension,bulging due to,bulging from compressed z layers
answer185,broke,my cardinal rule
answer185,made,multiple changes
answer185,made changes during,one overhaul
interference,is with,steppers
power,feeds,motors
answer185,pulling up,rambo manual
xz connector port wires,are creating,sort
leds,ran,calibration cubes
leds,running power wire in,same cable bundle
is,back to,normal
xz connector port wires,sort of,interference
leds,running,power wire
piercet,has,post in thread referencing
answer185,see,piercet 's post
piercet 's post,is in,thread
answer186,disassemble,my frame end
looks,is,5 mm
answer186,fished,bolt
answer186,fished bolt through,spool holder base
answer186,fished bolt into,threads
https://www.thingiverse.com/thing:2805599,has,clever
3d printing,combined with,regular hex nut
taz 5 profiles,is in,cura le
http://download.lulzbot.com/software/cura/packages/ version 21.08,should work well for,your current setup
endstop wiring,are,different
difference,is in,wiring
endstop wiring,will normally look on,mini toolhead
answer191,figure out,things
issue,was connection with,desktop
answer191,attempted,direct connection
answer191,added to,cura
answer191,'d added,install
answer191,was,able
answer191,establish,still com6 interestingly
known-good profiles,is in,cura lulzbot edition
your filament,gets,where stuck
everything,is,aligned well
everything,is aligned well along,entire filament path
user192,make,sure
user192,'ll want,make
guide,was for,very old model of rambo board from taz 1-2
answer195,'ll reserve,my opinion
user195,read,question
dual extruder v3,printing,flexible materials
dual extruder v3,is,capable
massive heater block,enable,extrusion rates
answer195,'m still waiting,see
post,be,helpful
edits,is in,red i-t-w.com
changes corrections,feel,free
feel,adds,changes corrections
12v 360w power supply,is with,printed endcap
stepper,for connector is,4 pin connector with 2 red wires
4 pin connector,connector for,hotend resistor
adds,lcd with,sd card reader
screws,increased in,diameter with different thread pitch
new flexible aluminum z axis couplers,lead,screws
wire exits,moved,clear
new lower z axis motor,mounts,taz 3 control box
several y axis motor,mount,side endplate holes shift 15 mm
lighter x carriage,is with,dual extruder cable
lighter x carriage,eliminates,bed height adjustment
stiffer spring,allow for,accurate z height keeping
connectors,were 4pin in,v2b
connectors,were,4pin
some,avoid,mixing up 24v filament cooler fan
mid production,switched to,v2c
mid production,switched to,single 8x2 pin connector
500w higher quality metal,enclosed,power supply
500w higher quality metal,enclosed power supply in,later production
2 wires,supplying,fixed 5v https://www.lulzbot.com/store/parts/int
toolhead harness,changes,toolhead carriage design
taz 6,runs,calibration routine
taz 6,runs calibration routine like,lulzbot mini
z axis,runs up and down dynamically during,print
z height values,are,fed
new,is,sanity check during bed calibration
value,is outside,reasonable range
halts calibration,re-starts calibration at_time,feature
automatic nozzle cleaning,wipes nozzle on,replaceable pad prior
automatic nozzle cleaning,wipes,nozzle
power supply,is,moved
x axis rods,increase in,size
automatic temperature settings,need to,pre-set temperatures
y front,match,y rear endplate
y endstops,are relocated from,frame to bed itself
y endstops,are,relocated
x maximum endstop,installed on,rear x carriage
frame,is with,spinner
change,using,dampers
mechanical parts,are,12 mm x rods
pei-sheet,upgrade toolhead to,v2 hexagon https://ohai.lulzbot.com/project/taz4-hexagon-toolhead/ https://www.lulzbot.com/store/tool-head
answer196,printing,my upgrade parts
answer196,like,hunting
taz,just buy,one ready
user196,'ll,'ll likely money
upgrades,is in,taz 4
user197,suppress,messages
user197,can set filter in,octoprint
user197,can set,terminal filter
user198,may want,try
contact,is with,nozzle risks sending to board
your first layer,is,high
user198,can adjust z-offset for,you printer
z-offset,is,distance
user198,once have found,good setting for z-offset
typical z-offset,is,number
user198,change z-offset from,-1.35 mm
answer198,like,do
answer198,do,this
user198,selecting,tune
bars,are called,leadscrews
bars,are,called
bed,is,y axis
user199,have,coupler
user199,missing,setscrew
user199,missing,two
debris,is in,z axis smooth rod bearings
failures,be,broken
other rarer failures,would,would broken z motor shaft
short,leading to,only one coil pair energized in motor
either,were,case
user200,should also check,idler bearing
user200,should also check idler bearing of,course
user200,remove belt,check
user200,remove,belt
pulley,is,loose
pulley,is loose on,shaft
easiest way,is going,cura
user201,multiply by,100 for 100 percent
user201,'ll take,20
user201,'ll take,your desired value
your,value,x z
user202,did change,e-steps
user202,did change e-steps,match
thread,covering,basic process
viewtopic.php?f,essentially have,electronics
leadscrews,screw,nuts
user203,can get,x end plates
itworks3d.com,can,can good source for those
itworks3d.com,be,good
user203,going in,thread
user203,once have,that
taz,is,24v
user203,alternativly could upgrade to,6 spec
user203,might take,look at taz openbuilds
ninjatek,recommends,extruder temperature
user204,'re having,jams
excess filament,use,piece
please,be,careful
user204,do with,tool head off of printer
user204,access,different parts of toolhead
user204,are welcome,will help
user204,are,welcome
our repair disclaimer,here is at,aleph objects
our repair disclaimer,is in,for just case
nozzle,requires,very precise torque
damage,switching out,nozzle
both,improve overall,bed adhesion
its properties,add,more surface area
your bed,mix up,9 parts water
your bed,get,spray bottle
your bed,mix up,1 part alcohol
user205,see,slight whitish film
process,will last,good while
tue nov 27 2018 8:45,am,plate
plate,is in,bottom picture
user206,were,yup right
thanks,have,nice day
z rods,are,still
z rods,grinding/buzzing,little
answer207,loosen,mounts
answer207,measured,lengths
much binding,will cause,step loss
your,rate,percentage
mine,set for,pla
mine,set to,0.9
user208,'ll have to,experiment
plastic,be,different
answer208,printed,10 cm x 10 cm cube
walls thickness,is with,micrometer
answer209,updated firmware,i thought
answer209,take,video
nozzle,now will hit,corner piece
homing x/y,is in,cura
video,shows,x/y
less fluid,is with,firmware
probing,instead hovering above,just nozzle
e-repairs,is in,regards to fan working
your toolhead,should have,part cooling fans
user211,print on,pei side
answer212,have issue with,1.1.18.62
answer212,have,same issue
answer212,click on,something
answer212,'d say,30 % of time
control panel,is in,older versions of cura
user214,measured,0.75 mm
fact,is,irrelevant
filament,passing through,nozzle
user215,are causing,binding
user215,have recently adjusted,your x axis belt tension
answer216,'m,sorry
first,turn off,printer
first,disconnect from,power
nozzle,measure,same
set screws,install,your fan
user216,are,ready
hotends,being installed during,assembly of toolhead
hotends,being,installed
answer217,'ve had issues with,jams
answer217,'m wondering,similar to your problem
filament jamming,is in,cold area of hot end
my classroom,has,two taz 6 printers
same issue,is with,pla
cold end,is with,enough air
answer217,'m still having,issue
pla,is,important
answer217,'m getting to,point
pla,is,material
answer218,had,trouble
holding,left-side of,x-axis rods
answer218,had trouble on,my original mini with print quality one day
key,look,see
head,was at,left-hand side of print
key,wiggle,bed
answer218,give,you
flex,bit beyond,that
jiggle,be,minuscule
user218,apply,how much pressure
answer219,'ll disable,steppers
answer219,'ve always homed,all
user219,notice moves to,right
user219,notice,moves
user219,use,taz 6 v2
answer219,'m,pretty sure
taz tool-head,has,fan
5,came with,metal hot end
that,came,adjusted
user220,flash,your firmware
